Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (0.501222, 40.5483, -33.3197) || Spherical Vector: (52.4844, 2.25861, 1.55844) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-0.501222, -40.5483, 33.3197) || Spherical Vector: (52.4844, 0.882983, -1.58316) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-3.54627, 51.6023, 8.90177) || Spherical Vector: (52.4844, 1.40036, 1.63941) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (3.54627, -51.6023, -8.90177) || Spherical Vector: (52.4844, 1.74123, -1.50218) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-13.1067, 23.3191, -45.1558) || Spherical Vector: (52.4844, 2.60678, 2.08285) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (13.1067, -23.3191, 45.1558) || Spherical Vector: (52.4844, 0.534808, -1.05874) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (24.996, 45.7185, -6.29614) || Spherical Vector: (52.4844, 1.69105, 1.07046) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-24.996, -45.7185, 6.29614) || Spherical Vector: (52.4844, 1.45054, -2.07113) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (29.1025, 43.5386, 3.47153) || Spherical Vector: (52.4844, 1.5046, 0.981573) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-29.1025, -43.5386, -3.47153) || Spherical Vector: (52.4844, 1.63699, -2.16002) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (0.238034, 10.9961, 51.3191) || Spherical Vector: (52.4844, 0.211126, 1.54915) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-0.238034, -10.9961, -51.3191) || Spherical Vector: (52.4844, 2.93047, -1.59244) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (19.9043, -48.2806, 5.23636) || Spherical Vector: (52.4844, 1.47086, -1.17976) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-19.9043, 48.2806, -5.23636) || Spherical Vector: (52.4844, 1.67073, 1.96183) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
